"X","congress","chamber","icpsr","state_icpsr","district_code","state_abbrev","party_code","occupancy","last_means","bioname","bioguide_id","born","died","nominate_dim1","nominate_dim2","nominate_log_likelihood","nominate_geo_mean_probability","nominate_number_of_votes","nominate_number_of_errors","conditional","nokken_poole_dim1","nokken_poole_dim2"
86,118,"House",21931,1,5,"CT",100,NA,NA,"HAYES, Jahana","H001081",1973,NA,-0.319,-0.068,-67.66203,0.93557,1016,31,NA,-0.302,-0.019
87,118,"House",29109,1,3,"CT",100,NA,NA,"DeLAURO, Rosa L.","D000216",1943,NA,-0.415,-0.107,-56.33413,0.94559,1007,21,NA,-0.431,0.072
88,118,"House",29908,1,1,"CT",100,NA,NA,"LARSON, John B.","L000557",1948,NA,-0.397,-0.039,-55.35788,0.94572,992,20,NA,-0.42,0.104
89,118,"House",21706,11,1,"DE",100,NA,NA,"BLUNT ROCHESTER, Lisa","B001303",1962,NA,-0.357,-0.115,-41.68203,0.95917,1000,13,NA,-0.434,-0.028
90,118,"House",21993,55,0,"DC",100,NA,NA,"NORTON, Eleanor Holmes","N000147",1937,NA,-0.491,-0.114,-19.20849,0.96434,529,8,NA,-0.432,-0.258
91,118,"House",20316,43,26,"FL",200,NA,NA,"DIAZ-BALART, Mario","D000600",1961,NA,0.281,0.157,-118.41155,0.88281,950,47,NA,0.309,0.351
92,118,"House",20504,43,25,"FL",100,NA,NA,"WASSERMAN SCHULTZ, Debbie","W000797",1966,NA,-0.417,0.097,-63.63834,0.93923,1015,26,NA,-0.384,0.243
93,118,"House",20708,43,14,"FL",100,NA,NA,"CASTOR, Kathy","C001066",1966,NA,-0.438,0.066,-40.85435,0.96024,1007,15,NA,-0.429,0.177
94,118,"House",20709,43,16,"FL",200,NA,NA,"BUCHANAN, Vernon G.","B001260",1951,NA,0.362,-0.086,-160.14656,0.8498,984,78,NA,0.399,0.102
95,118,"House",20758,43,12,"FL",200,NA,NA,"BILIRAKIS, Gus","B001257",1963,NA,0.423,-0.033,-152.50173,0.85396,966,76,NA,0.497,-0.036
96,118,"House",20909,43,8,"FL",200,NA,NA,"POSEY, Bill","P000599",1947,NA,0.534,-0.356,-117.86383,0.88829,995,46,NA,0.595,-0.376
97,118,"House",21116,43,11,"FL",200,NA,NA,"WEBSTER, Daniel A.","W000806",1949,NA,0.523,-0.077,-134.86981,0.87264,990,61,NA,0.499,-0.056
98,118,"House",21118,43,24,"FL",100,NA,NA,"WILSON, Frederica","W000808",1942,NA,-0.477,-0.007,-43.42184,0.9528,898,13,NA,-0.461,0.025
99,118,"House",21321,43,22,"FL",100,NA,NA,"FRANKEL, Lois","F000462",1948,NA,-0.395,-0.033,-62.75722,0.9376,974,24,NA,-0.386,0.188
100,118,"House",21714,43,2,"FL",200,NA,NA,"DUNN, Neal Patrick","D000628",1953,NA,0.506,0.334,-131.25981,0.8779,1008,59,NA,0.483,0.325
101,118,"House",21719,43,1,"FL",200,NA,NA,"GAETZ, Matthew L. II","G000578",1982,NA,0.594,-0.644,-161.64324,0.84308,947,74,NA,0.54,-0.707
102,118,"House",21735,43,21,"FL",200,NA,NA,"MAST, Brian Jeffery","M001199",1980,NA,0.463,-0.356,-163.77164,0.84711,987,70,NA,0.501,-0.238
103,118,"House",21744,43,5,"FL",200,NA,NA,"RUTHERFORD, John Henry","R000609",1952,NA,0.432,0.074,-165.10683,0.84919,1010,71,NA,0.432,0.176
104,118,"House",21746,43,9,"FL",100,NA,NA,"SOTO, Darren Michael","S001200",1978,NA,-0.349,0.189,-65.00607,0.93808,1017,31,NA,-0.292,0.203
105,118,"House",21971,43,17,"FL",200,NA,NA,"STEUBE, William","S001214",1978,NA,0.69,-0.32,-74.5063,0.92196,917,30,NA,0.747,-0.383
106,118,"House",21981,43,6,"FL",200,NA,NA,"WALTZ, Michael","W000823",1974,NA,0.451,-0.113,-125.74035,0.877,958,65,NA,0.583,0.033
107,118,"House",22107,43,3,"FL",200,NA,NA,"CAMMACK, Kat","C001039",1988,NA,0.588,-0.236,-94.5811,0.90764,976,38,NA,0.58,-0.282
108,118,"House",22111,43,19,"FL",200,NA,NA,"DONALDS, Byron","D000032",1978,NA,0.645,-0.26,-80.50893,0.91883,951,33,NA,0.677,-0.354
109,118,"House",22116,43,18,"FL",200,NA,NA,"FRANKLIN, C. Scott","F000472",1964,NA,0.62,0.174,-92.33099,0.91305,1015,43,NA,0.652,0.249
110,118,"House",22118,43,28,"FL",200,NA,NA,"GIMENEZ, Carlos A.","G000593",1954,NA,0.331,0.133,-136.36883,0.87022,981,57,NA,0.353,0.176
111,118,"House",22150,43,27,"FL",200,NA,NA,"SALAZAR, Maria Elvira","S000168",1961,NA,0.271,0.156,-168.57599,0.83693,947,67,NA,0.287,0.308
112,118,"House",22163,43,20,"FL",100,NA,NA,"CHERFILUS-MCCORMICK, Sheila","C001127",1979,NA,-0.466,-0.036,-40.63517,0.95998,995,17,NA,-0.441,-0.124
113,118,"House",22302,43,4,"FL",200,NA,NA,"BEAN, Aaron","B001314",1967,NA,0.666,-0.126,-84.36317,0.92039,1017,36,NA,0.665,-0.132
114,118,"House",22321,43,10,"FL",100,NA,NA,"FROST, Maxwell","F000476",1997,NA,-0.418,-0.716,-50.69997,0.95137,1017,18,NA,-0.417,-0.718
115,118,"House",22341,43,15,"FL",200,NA,NA,"LEE, Laurel","L000597",1974,NA,0.407,0.158,-161.43135,0.85229,1010,76,NA,0.391,0.179
116,118,"House",22343,43,13,"FL",200,NA,NA,"LUNA, Anna","L000596",1989,NA,0.576,-0.547,-95.97016,0.89521,867,44,NA,0.576,-0.556
117,118,"House",22350,43,7,"FL",200,NA,NA,"MILLS, Cory","M001216",1980,NA,0.597,-0.309,-98.31259,0.90716,1009,39,NA,0.59,-0.321
118,118,"House",22353,43,23,"FL",100,NA,NA,"MOSKOWITZ, Jared","M001217",1980,NA,-0.227,0.319,-84.62906,0.91604,965,35,NA,-0.226,0.318
119,118,"House",20321,44,13,"GA",100,NA,NA,"SCOTT, David","S001157",1945,NA,-0.304,0.167,-77.6298,0.92602,1010,30,NA,-0.344,0.255
120,118,"House",20712,44,4,"GA",100,NA,NA,"JOHNSON, Hank","J000288",1954,NA,-0.476,-0.047,-114.72744,0.89047,989,39,NA,-0.774,-0.061
121,118,"House",21123,44,8,"GA",200,NA,NA,"SCOTT, Austin","S001189",1969,NA,0.535,0.366,-159.9921,0.85377,1012,76,NA,0.464,0.484
122,118,"House",21513,44,1,"GA",200,NA,NA,"CARTER, Buddy","C001103",1957,NA,0.557,0.341,-131.01697,0.87868,1013,55,NA,0.571,0.41
123,118,"House",21515,44,11,"GA",200,NA,NA,"LOUDERMILK, Barry D.","L000583",1963,NA,0.682,0.012,-112.02384,0.89219,982,50,NA,0.666,0.057
124,118,"House",21516,44,12,"GA",200,NA,NA,"ALLEN, Rick W.","A000372",1951,NA,0.691,0.274,-112.97317,0.89477,1016,54,NA,0.62,0.251
125,118,"House",21717,44,3,"GA",200,NA,NA,"FERGUSON, Anderson Drew IV","F000465",1966,NA,0.586,0.25,-144.61848,0.86472,995,66,NA,0.569,0.348
126,118,"House",21944,44,7,"GA",100,NA,NA,"McBATH, Lucy","M001208",1960,NA,-0.34,0.268,-59.58332,0.94187,995,25,NA,-0.473,0.247
127,118,"House",22110,44,9,"GA",200,NA,NA,"CLYDE, Andrew S.","C001116",1963,NA,0.825,-0.128,-120.47692,0.88766,1011,55,NA,0.969,-0.001
128,118,"House",22121,44,14,"GA",200,NA,NA,"GREENE, Marjorie Taylor","G000596",1974,NA,0.8,-0.6,-146.54805,0.86097,979,57,NA,0.67,-0.547
129,118,"House",22156,44,5,"GA",100,NA,NA,"WILLIAMS, Nikema","W000788",1978,NA,-0.413,-0.421,-44.38629,0.95713,1013,18,NA,-0.421,-0.422
130,118,"House",22310,44,10,"GA",200,NA,NA,"COLLINS, Mike","C001129",1967,NA,0.672,-0.277,-84.57002,0.91998,1014,33,NA,0.672,-0.276
131,118,"House",22346,44,6,"GA",200,NA,NA,"MCCORMICK, Rich","M001218",1968,NA,0.881,0.474,-161.81101,0.85129,1005,78,NA,0.888,0.46
132,118,"House",29339,44,2,"GA",100,NA,NA,"BISHOP, Sanford Dixon, Jr.","B000490",1947,NA,-0.286,0.449,-101.7942,0.90413,1010,50,NA,-0.438,0.446
133,118,"House",22373,94,0,"GU",200,NA,NA,"MOYLAN, James","M001219",1962,NA,0.443,0.431,-95.35733,0.75606,341,47,NA,0.442,0.431
134,118,"House",20322,82,1,"HI",100,NA,NA,"CASE, Ed","C001055",1952,NA,-0.204,-0.078,-90.51935,0.91419,1009,38,NA,-0.263,0.072
135,118,"House",22369,82,2,"HI",100,NA,NA,"TOKUDA, Jill","T000487",1976,NA,-0.465,-0.379,-38.9259,0.96212,1008,17,NA,-0.465,-0.378
136,118,"House",21920,63,1,"ID",200,NA,NA,"FULCHER, Russell","F000469",1962,NA,0.639,-0.079,-109.27729,0.89793,1015,39,NA,0.645,-0.148
